	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1077	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1078	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1079	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1080	NA	NA	NA	NA	NA	NA	NA
ASV_1081	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1082	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
ASV_1083	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_1084	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__
ASV_1085	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1086	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1087	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1088	NA	NA	NA	NA	NA	NA	NA
ASV_1089	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1090	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1091	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
